Agency Name,Bureau Name,Account Name,2013,2014
Department of Transportation,Federal Highway Administration,Federal-aid Highways,39138000,39695000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Air Force",44442000,37271000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Army",59337000,35073000
Office of Personnel Management,Office of Personnel Management,Payment to Civil Service Retirement and Disability Fund,32374000,33140000
Department of Defense--Military Programs,Operation and Maintenance,Defense Health Program,33663000,33040000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Defense-wide",38457000,32997000
Department of the Treasury,Internal Revenue Service,Refundable Premium Assistance Tax Credit,0,32269000
Department of Health and Human Services,National Institutes of Health,National Institutes of Health,30899000,31173000
Social Security Administration,Social Security Administration,Payments to Social Security Trust Funds,56076000,28625000
Department of Defense--Military Programs,Military Personnel,"Military Personnel, Air Force",29555000,28520000
International Assistance Programs,Military Sales Program,Foreign Military Sales Trust Fund,33880000,28000000
Department of Defense--Military Programs,Military Personnel,"Military Personnel, Navy",27842000,27824000
Department of Defense--Military Programs,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Air Force",26695000,25703000
Department of the Treasury,Internal Revenue Service,Payment Where Child Tax Credit Exceeds Liability for Tax,23061000,25119000
Department of Education,Office of Federal Student Aid,Student Financial Assistance,24685000,24685000
Department of Agriculture,Food and Nutrition Service,Child Nutrition Programs,19702000,20617000
Department of Housing and Urban Development,Public and Indian Housing Programs,Tenant Based Rental Assistance,19006000,19996000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Children's Health Insurance Fund,17451000,19147000
Department of Defense--Military Programs,Procurement,"Aircraft Procurement, Navy",17870000,17928000
Department of Defense--Military Programs,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Defense-wide",19391000,17667000
Department of Health and Human Services,Administration for Children and Families,Temporary Assistance for Needy Families,16739000,17058000
Department of Defense--Military Programs,Procurement,"Other Procurement, Air Force",20271000,16761000
Department of Defense--Military Programs,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Navy",17908000,15975000
Department of Transportation,Federal Highway Administration,Payment to the Transportation Trust Fund,6200000,15152000
Department of Education,Office of Elementary and Secondary Education,Accelerating Achievement and Ensuring Equity,15772000,14843000
Department of Defense--Military Programs,Procurement,"Shipbuilding and Conversion, Navy",15010000,14078000
Department of the Treasury,Fiscal Service,Interest Paid to Credit Financing Accounts,11902000,13317000
Department of Veterans Affairs,Benefits Programs,Readjustment Benefits,11199000,13148000
Department of Housing and Urban Development,Housing Programs,FHA-mutual Mortgage Insurance Capital Reserve Account,-5255000,12951000
Department of Defense--Military Programs,Military Personnel,"Military Personnel, Marine Corps",15340000,12905000
Department of Education,Office of Special Education and Rehabilitative Services,Special Education,12661000,11816000
Department of Justice,Office of Justice Programs,Crime Victims Fund,10236000,11431000
Department of Defense--Military Programs,Procurement,"Aircraft Procurement, Air Force",13049000,11399000
Office of Personnel Management,Office of Personnel Management,"Government Payment for Annuitants, Employees Health Benefits",10698000,11163000
Department of Health and Human Services,Administration for Children and Families,Children and Families Services Programs,10069000,11083000
Department of Housing and Urban Development,Public and Indian Housing Programs,Project-based Rental Assistance,9395000,10278000
National Infrastructure Bank,National Infrastructure Bank,National Infrastructure Bank Program Account,0,10000000
Allowances,Allowances,Future Disaster Costs,5500000,10000000
Department of Transportation,Federal Transit Administration,Transit Formula Grants,9778000,9895000
Federal Communications Commission,Federal Communications Commission,Universal Service Fund,10127000,9857000
Department of Homeland Security,Customs and Border Protection,Customs and Border Protection,8738000,9606000
Other Defense Civil Programs,Retiree Health Care,Department of Defense Medicare-Eligible Retiree Health Care Fund,9283000,9499000
Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,10220000,8991000
Department of State,Administration of Foreign Affairs,Diplomatic and Consular Programs,10966000,8481000
Department of State,Other,Global Health Programs,8218000,8315000
Department of Defense--Military Programs,Military Personnel,"National Guard Personnel, Army",8216000,8041000
Department of Defense--Military Programs,"Research, Development, Test, and Evaluation","Research, Development, Test and Evaluation, Army",8815000,7989000
Department of Energy,National Nuclear Security Administration,Weapons Activities,7557000,7868000
Department of the Treasury,Internal Revenue Service,Payment Where American Opportunity Credit Exceeds Liability for TAX,7236000,7449000
Department of the Treasury,Interest on the Public Debt,Interest Paid to Federal Fund Receipt Accounts - Shadow Account,7355000,7324000
Department of Labor,Employment and Training Administration,Payments to the Unemployment Trust Fund,30767000,7157000
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",6659000,7142000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Army National Guard",7353000,7054000
Department of Education,Office of Federal Student Aid,Student Financial Assistance,12441000,7044000
Department of Health and Human Services,Administration for Children and Families,Payments for Foster Care and Permanency,6921000,7011000
Department of Defense--Military Programs,Military Personnel,Concurrent Receipt Accrual Payments to the Military Retirement Fund,6791000,6970000
Department of Justice,Federal Prison System,Salaries and Expenses,6591000,6831000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Air National Guard",6162000,6566000
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,7035000,6534000
Department of Transportation,Federal Aviation Administration,Trust Fund Share of FAA Activities (Airport and Airway Trust Fund),5092000,6484000
Department of Defense--Military Programs,Procurement,"Other Procurement, Army",9547000,6465000
Department of Homeland Security,United States Coast Guard,Operating Expenses,6433000,6391000
Department of Defense--Military Programs,Procurement,"Other Procurement, Navy",6089000,6310000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Marine Corps",9643000,6255000
Department of Homeland Security,Federal Emergency Management Agency,Disaster Relief Fund,18565000,6197000
National Science Foundation,National Science Foundation,Research and Related Activities,5686000,6149000
Department of Veterans Affairs,Veterans Health Administration,Medical Support and Compliance,5847000,6033000
Department of Energy,Energy Programs,Home Energy Retrofit Rebate Program,0,6000000
International Assistance Programs,International Security Assistance,Foreign Military Financing Program,6344000,5957000
Department of Veterans Affairs,Benefits Programs,Pensions benefits,4885000,5584000
Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services,5495000,5475000
International Assistance Programs,International Security Assistance,Economic Support Fund,5674000,5458000
Department of Defense--Military Programs,Procurement,"Missile Procurement, Air Force",5945000,5343000
Department of Education,Office of Innovation and Improvement,Innovation and Instructional Teams,1537000,5335000
Department of Energy,Environmental and Other Defense Activities,Defense Environmental Cleanup,5034000,5317000
Department of Energy,Energy Programs,Science,4904000,5153000
Department of Defense--Military Programs,Procurement,"Aircraft Procurement, Army",5858000,5024000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Science,5116000,5018000
Department of the Treasury,Internal Revenue Service,Enforcement,4694000,5005000
Department of Homeland Security,Immigration and Customs Enforcement,Immigration and Customs Enforcement,5554000,4957000
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,5509000,4945000
Department of Justice,Federal Bureau of Investigation,Salaries and Expenses,4797000,4880000
Department of Veterans Affairs,Veterans Health Administration,Medical Facilities,5699000,4872000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Salaries and Expenses,4716000,4823000
Department of the Treasury,Departmental Offices,"Grants for Specified Energy Property in Lieu of Tax Credits, Recovery Act",8080000,4710000
Department of the Treasury,Internal Revenue Service,Operations Support,4129000,4569000
Department of Defense--Military Programs,Military Personnel,"Reserve Personnel, Army",4473000,4565000
Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund,3986000,4560000
Department of Defense--Military Programs,Procurement,"Procurement, Defense-wide",5130000,4534000
Department of the Treasury,Internal Revenue Service,"Build America Bond Payments, Recovery Act",4334000,4334000
Department of Health and Human Services,Administration for Children and Families,Payments to States for Child Support Enforcement and Family Support Programs,4004000,4075000
Department of Defense--Military Programs,Military Construction,"Military Construction, Defense-wide",3282000,3985000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Reduced Cost Sharing for Individuals Enrolling in Qualified Health Plans,0,3978000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Federal Hospital Insurance Trust Fund,2567000,3954000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Exploration,3790000,3916000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Space Operations,4247000,3883000
Social Security Administration,Social Security Administration,Supplemental Security Income Program,3633000,3860000
Department of Veterans Affairs,Departmental Administration,Information Technology Systems,3131000,3683000
Department of Transportation,Federal Railroad Administration,Rail Service Improvement Program,0,3660000
Other Defense Civil Programs,Retiree Health Care,Payment to Department of Defense Medicare-Eligible Retiree Health Care Fund,6142000,3656000
Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,3919000,3601000
Department of Health and Human Services,Indian Health Service,Indian Health Services,3890000,3505000
Department of Health and Human Services,Administration for Children and Families,Child Care Entitlement to States,2917000,3417000
Department of Commerce,National Oceanic and Atmospheric Administration,"Operations, Research, and Facilities",3289000,3400000
Department of Labor,Employment and Training Administration,Training and Employment Services,3227000,3388000
Department of the Treasury,Interest on the Public Debt,Interest Paid to Expenditure Accounts - Shadow Account,3841000,3374000
Department of Transportation,Federal Aviation Administration,Grants-in-aid for Airports (Airport and Airway Trust Fund),3350000,3350000
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Susbstance Abuse and Mental Health Services Administration,3368000,3348000
Department of the Treasury,Internal Revenue Service,"Refunding Internal Revenue Collections, Interest",3088000,3345000
Department of Justice,Federal Bureau of Investigation,Salaries and Expenses,3289000,3332000
Department of Education,Office of Special Education and Rehabilitative Services,Rehabilitation Services and Disability Research,3231000,3302000
Department of Transportation,Federal Aviation Administration,Operations,4621000,3223000
Office of Personnel Management,Office of Personnel Management,Postal Service Retiree Health Benefits Fund,2912000,3199000
Department of Defense--Military Programs,Military Personnel,"National Guard Personnel, Air Force",3118000,3178000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Air Force Reserve",3415000,3164000
Environmental Protection Agency,Environmental Protection Agency,State and Tribal Assistance Grants,4190000,3154000
Department of Housing and Urban Development,Community Planning and Development,Community Development Fund,19308000,3128000
Department of Defense--Military Programs,Procurement,"Weapons Procurement, Navy",3233000,3122000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Army Reserve",3245000,3095000
Department of Homeland Security,Citizenship and Immigration Services,Citizenship and Immigration Services,2976000,3095000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Federal Supplementary Medical Insurance Trust Fund,3144000,3042000
Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance,3493000,3020000
Department of Transportation,Department of Transportation,Immediate Transportation Investments,0,3000000
Department of Labor,Employment and Training Administration,Unemployment Trust Fund,3262000,2924000
Department of Education,Office of Federal Student Aid,Federal Direct Student Loan Program Account,3274000,2871000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Cross Agency Support,3012000,2850000
Environmental Protection Agency,Environmental Protection Agency,Environmental Programs and Management,2696000,2813000
International Assistance Programs,Agency for International Development,Development Assistance Program,2535000,2798000
Department of Transportation,Federal Aviation Administration,Facilities and Equipment (Airport and Airway Trust Fund),2777000,2778000
Department of Education,Office of Elementary and Secondary Education,Education Improvement Programs,4562000,2757000
Department of Homeland Security,Transportation Security Administration,Aviation Security,3178000,2722000
Department of Transportation,Federal Railroad Administration,Current Passenger Rail Service,0,2700000
Social Security Administration,Social Security Administration,Federal Old-age and Survivors Insurance Trust Fund,2746000,2664000
Department of State,Administration of Foreign Affairs,"Embassy Security, Construction, and Maintenance",1579000,2649000
Department of the Treasury,Fiscal Service,Payment to the Resolution Funding Corporation,2628000,2628000
Department of Health and Human Services,Food and Drug Administration,Salaries and Expenses,2521000,2558000
Social Security Administration,Social Security Administration,Federal Disability Insurance Trust Fund,2952000,2535000
Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services,1855000,2505000
Department of Health and Human Services,Administration for Children and Families,Payments to States for the Child Care and Development Block Grant,2292000,2478000
Department of Veterans Affairs,Departmental Administration,"General Operating Expenses, Veterans Benefits Administration",2164000,2455000
Department of the Treasury,Internal Revenue Service,Taxpayer Services,2254000,2412000
Department of Housing and Urban Development,Community Planning and Development,Homeless Assistance Grants,1913000,2381000
Department of the Treasury,Fiscal Service,"Claims, Judgments, and Relief Acts",4268000,2340000
Department of Agriculture,Forest Service,Wildland Fire Management,2333000,2335000
Department of the Interior,National Park Service,Operation of the National Park System,2250000,2285000
Department of Labor,Employment and Training Administration,Universal Displaced Workers Program,0,2202000
Department of Education,Office of Postsecondary Education,Higher Education,1881000,2183000
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,2113000,2180000
Department of Justice,Legal Activities and U.S. Marshals,Assets Forfeiture Fund,2162000,2163000
Department of the Interior,Departmental Offices,Mineral Leasing and Associated Payments,2057000,2142000
Department of Energy,National Nuclear Security Administration,Defense Nuclear Nonproliferation,2410000,2140000
Department of Homeland Security,Federal Emergency Management Agency,State and Local Programs,2301000,2123000
Department of Commerce,National Oceanic and Atmospheric Administration,"Procurement, Acquisition and Construction",2013000,2118000
Department of State,International Organizations and Conferences,Contributions for International Peacekeeping Activities,1839000,2095000
Department of Justice,Drug Enforcement Administration,Salaries and Expenses,2040000,2058000
International Assistance Programs,Agency for International Development,International Disaster Assistance,980000,2045000
Department of Health and Human Services,Administration for Community Living,Aging and Disability Services Programs,1480000,2043000
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Attorneys",1972000,2008000
Department of Transportation,Federal Transit Administration,Capital Investment Grants,1923000,1981000
Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund,1886000,1979000
Department of Commerce,National Telecommunications and Information Administration,Public Safety Trust Fund,90000,1908000
Department of Defense--Military Programs,Military Personnel,"Reserve Personnel, Navy",1987000,1892000
Department of Labor,Employment and Training Administration,Universal Displaced Workers Program,0,1843000
Department of Education,Office of Elementary and Secondary Education,Supporting Student Success,258000,1832000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Army",2434000,1824000
Department of Health and Human Services,Administration for Children and Families,Social Services Block Grant,2285000,1785000
Department of State,Other,Migration and Refugee Assistance,1885000,1761000
Department of Defense--Military Programs,Military Personnel,"Reserve Personnel, Air Force",1749000,1759000
Department of Education,Office of Vocational and Adult Education,"Career, Technical and Adult Education",1743000,1750000
Department of Defense--Military Programs,Military Construction,"Military Construction, Navy and Marine Corps",2079000,1700000
Department of Labor,Employment and Training Administration,Office of Job Corps,1713000,1692000
Department of Energy,Energy Programs,Energy Efficiency and Renewable Energy,934000,1672000
Department of Justice,Legal Activities and U.S. Marshals,Federal Prisoner Detention,0,1636000
Department of Defense--Military Programs,Procurement,"Procurement of Weapons and Tracked Combat Vehicles, Army",2080000,1597000
Department of State,International Organizations and Conferences,Contributions to International Organizations,1560000,1573000
Department of Agriculture,Forest Service,National Forest System,1614000,1557000
Department of the Treasury,Departmental Offices,Treasury Forfeiture Fund,2833000,1544000
Department of Defense--Military Programs,Procurement,"Procurement of Ammunition, Army",2239000,1540000
Department of Homeland Security,Science and Technology,"Research, Development, Acquisitions and Operations",675000,1527000
International Assistance Programs,Multilateral Assistance,Contribution to the International Development Association,1501000,1504000
Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,833000,1503000
Department of Homeland Security,Customs and Border Protection,Customs and Border Protection,1451000,1498000
Department of Homeland Security,United States Secret Service,Operating Expenses,1670000,1495000
Department of State,Other,International Narcotics Control and Law Enforcement,2051000,1474000
Department of Homeland Security,United States Coast Guard,Retired Pay,1440000,1452000
Department of Defense--Military Programs,Revolving and Management Funds,"Working Capital Fund, Defense Commissary Agency",1385000,1413000
International Assistance Programs,Agency for International Development,Operating Expenses of the Agency for International Development,1354000,1399000
Department of Defense--Military Programs,Procurement,"Procurement, Marine Corps",2375000,1344000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Affordable Insurance Exchange Grants,2751000,1343000
Department of Defense--Military Programs,Procurement,"Missile Procurement, Army",1490000,1334000
Department of Education,Office of Elementary and Secondary Education,School Readiness,0,1300000
Department of the Interior,United States Fish and Wildlife Service,Resource Management,1234000,1295000
Department of Health and Human Services,Departmental Management,Public Health and Social Services Emergency Fund,767000,1290000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Operation of Indian Programs,1390000,1270000
Department of Energy,National Nuclear Security Administration,Naval Reactors,1087000,1246000
Department of Education,Office of Elementary and Secondary Education,Impact Aid,1299000,1224000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Air Force",1442000,1218000
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Salaries and Expenses,1159000,1217000
Department of Homeland Security,National Protection and Programs Directorate,Infrastructure Protection and Information Security,1170000,1202000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Navy",1397000,1198000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Navy Reserve",1369000,1198000
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, United States Marshals Service",1179000,1192000
Environmental Protection Agency,Environmental Protection Agency,Hazardous Substance Superfund,1223000,1180000
Department of Agriculture,Farm Service Agency,Salaries and Expenses,1206000,1176000
Department of Labor,Employment and Training Administration,Unemployment Trust Fund,1100000,1176000
Department of Labor,Office of Workers' Compensation Programs,Energy Employees Occupational Illness Compensation Fund,1212000,1174000
Department of the Interior,United States Geological Survey,"Surveys, Investigations, and Research",1075000,1167000
Department of Defense--Military Programs,Military Construction,"Military Construction, Air Force",1193000,1157000
Department of Agriculture,Agricultural Research Service,Salaries and Expenses,1101000,1124000
Department of Health and Human Services,Administration for Children and Families,Refugee and Entrant Assistance,900000,1123000
Department of Defense--Military Programs,Military Construction,"Military Construction, Army",2921000,1120000
Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",1091000,1107000
Department of Energy,Energy Programs,Energy Efficiency and Renewable Energy,887000,1104000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Defender Services,1037000,1069000
Department of Defense--Military Programs,Operation and Maintenance,The Department of Defense Environmental Restoration Accounts,1198000,1065000
Department of Defense--Military Programs,Procurement,"Chemical Agents and Munitions Destruction, Defense",1564000,1057000
Department of Education,Office of Federal Student Aid,Student Aid Administration,1049000,1053000
Environmental Protection Agency,Environmental Protection Agency,Payment to the Hazardous Substance Superfund,1144000,1042000
Department of Energy,Power Marketing Administration,Bonneville Power Administration Fund,945000,1027000
Department of Agriculture,Rural Housing Service,Rental Assistance Program,910000,1015000
Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,1011000,1008000
Department of Commerce,National Institute of Standards and Technology,National Network for Manufacturing Innovation,0,1000000
Department of Homeland Security,Federal Emergency Management Agency,National Flood Insurance Fund,11725000,1000000
Department of Housing and Urban Development,Community Planning and Development,Housing Trust Fund,0,1000000
Department of Veterans Affairs,Departmental Administration,Veterans Employment and Infrastructure Enhancement Transfer Fund,0,1000000
Department of Homeland Security,Transportation Security Administration,Transportation Security Support,1038000,998000
Department of the Interior,Bureau of Land Management,Management of Lands and Resources,966000,980000
Department of Justice,Office of Justice Programs,State and Local Law Enforcement Assistance,1126000,969000
Department of Homeland Security,Federal Emergency Management Agency,Salaries and Expenses,935000,965000
Department of Agriculture,Farm Service Agency,Tobacco Trust Fund,960000,960000
Department of Housing and Urban Development,Community Planning and Development,Home Investment Partnership Program,1006000,945000
Department of Defense--Military Programs,Operation and Maintenance,Drug Interdiction and Counter-Drug Activities,1686000,939000
Department of Veterans Affairs,Benefits Programs,National Service Life Insurance Fund,981000,928000
Department of State,Administration of Foreign Affairs,Foreign Service Retirement and Disability Fund,893000,915000
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, General Legal Activities",868000,903000
International Assistance Programs,Millennium Challenge Corporation,Millennium Challenge Corporation,904000,898000
Department of Homeland Security,United States Coast Guard,"Acquisition, Construction, and Improvements",1727000,889000
National Science Foundation,National Science Foundation,Education and Human Resources,834000,880000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Health Care Fraud and Abuse Control Account,1073000,863000
Department of Homeland Security,Transportation Security Administration,Federal Air Marshals,972000,827000
Department of the Treasury,Internal Revenue Service,Payment to Issuer of Qualified School Construction Bonds,820000,820000
Department of Defense--Military Programs,Operation and Maintenance,Allied Contributions and Cooperation Account,798000,812000
Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,714000,806000
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,822000,798000
Environmental Protection Agency,Environmental Protection Agency,Science and Technology,799000,784000
Department of the Interior,Bureau of Reclamation,Water and Related Resources,881000,783000
Department of the Interior,Department-Wide Programs,Wildland Fire Management,826000,777000
Department of Defense--Military Programs,Procurement,"Procurement of Ammunition, Air Force",618000,759000
Department of Health and Human Services,Centers for Disease Control and Prevention,CDC-Wide Activities and Program Support,2000,757000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Operation of Indian Programs,813000,753000
Department of Education,Office of Elementary and Secondary Education,School Readiness,0,750000
Department of Energy,Environmental and Other Defense Activities,Other Defense Activities,828000,749000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Space Technology,579000,743000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, National Guard Personnel, Army",909000,742000
Department of Education,Office of English Language Acquisition,English Learner Education,737000,732000
Department of Defense--Military Programs,Revolving and Management Funds,National Defense Sealift Fund,1107000,731000
Department of Commerce,Bureau of the Census,Periodic Censuses and Programs,655000,727000
Social Security Administration,Social Security Administration,"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111-312)",-27169000,716000
Department of Veterans Affairs,Departmental Administration,"Construction, Minor Projects",485000,715000
Department of Commerce,National Institute of Standards and Technology,Scientific and Technical Research and Services,580000,698000
Department of the Treasury,Internal Revenue Service,America Fast Forward Bonds,0,686000
Department of Defense--Military Programs,Military Personnel,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",876000,684000
Department of Defense--Military Programs,Military Personnel,"Reserve Personnel, Marine Corps",673000,677000
Department of Education,Institute of Education Sciences,Institute of Education Sciences,598000,671000
Department of the Treasury,Internal Revenue Service,Enforcement,637000,657000
Department of Housing and Urban Development,Public and Indian Housing Programs,Native American Housing Block Grant,654000,647000
Department of the Treasury,Fiscal Service,Financial Agent Services,655000,636000
Department of Energy,Energy Programs,Nuclear Energy,771000,635000
International Assistance Programs,International Security Assistance,"Nonproliferation, Antiterrorism, Demining, and Related Programs",715000,616000
Department of the Interior,United States Fish and Wildlife Service,Federal Aid in Wildlife Restoration,571000,611000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Construction, Environmental Compliance, and Remediation",402000,609000
Department of Labor,Employment and Training Administration,Advances to the Unemployment Trust Fund and Other Funds,0,600000
Department of Defense--Military Programs,Procurement,"Procurement of Ammunition, Navy and Marine Corps",888000,589000
Department of Veterans Affairs,Veterans Health Administration,Medical and Prosthetic Research,585000,586000
Department of State,Other,Middle East and North Africa Incentive Fund,0,580000
Department of Labor,Occupational Safety and Health Administration,Salaries and Expenses,569000,571000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Aeronautics,572000,566000
Department of State,Administration of Foreign Affairs,Educational and Cultural Exchange Programs,603000,563000
Department of Transportation,National Highway Traffic Safety Administration,Highway Traffic Safety Grants,554000,562000
Department of Energy,Energy Programs,Uranium Enrichment Decontamination and Decommissioning Fund,475000,555000
Department of Health and Human Services,Program Support Center,Retirement Pay and Medical Benefits for Commissioned Officers,522000,550000
Department of Labor,Bureau of Labor Statistics,Salaries and Expenses,545000,547000
Department of Housing and Urban Development,Government National Mortgage Association,Guarantees of Mortgage-backed Securities Capital Reserve Account,6663000,542000
Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services,737000,540000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,530000,532000
Department of Defense--Military Programs,Operation and Maintenance,Cooperative Threat Reduction Account,511000,528000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Court Security,503000,524000
Department of Justice,Interagency Law Enforcement,Interagency Crime and Drug Enforcement,530000,523000
Department of Commerce,International Trade Administration,Operations and Administration,458000,520000
Department of Defense--Military Programs,Family Housing,"Family Housing Operation and Maintenance, Army",497000,513000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Judiciary Information Technology Fund,442000,507000
Department of Housing and Urban Development,Management and Administration,Administrative Support Offices,541000,505000
Department of Labor,Employment and Training Administration,TAA Community College and Career Training Grant Fund,500000,500000
Department of Transportation,Office of the Secretary,National Infrastructure Investments,503000,500000
Federal Communications Commission,Federal Communications Commission,TV Broadcaster Relocation Fund,0,500000
Department of Health and Human Services,Administration for Children and Families,Supporting Healthy Families and Adolescent Development,485000,485000
Department of Homeland Security,Departmental Management and Operations,Departmental Operations,478000,484000
Department of Health and Human Services,Indian Health Service,Contract Support Costs,0,477000
Department of Homeland Security,Customs and Border Protection,"Construction, Customs and Border Protection",238000,471000
Department of Education,Departmental Management,Program Administration,449000,463000
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,478000,459000
Department of Defense--Military Programs,Military Construction,Department of Defense Base Closure Account,0,451000
Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,514000,450000
Department of Health and Human Services,Indian Health Service,Indian Health Facilities,443000,448000
Department of Education,Office of Federal Student Aid,Student Aid Administration,386000,434000
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,Internal Revenue Collections for Puerto Rico,616000,433000
Department of Education,Office of Postsecondary Education,Higher Education,428000,428000
